"Pregunta","Opción Correcta","Opción Incorrecta 1","Opción Incorrecta 2","Opción Incorrecta 3","Contexto"
"Es un grupo de actividades que realizan un trabajo determinado en Android. Este grupo se maneja como una pila de actividades que pueden ir al fondo cuando el usuario minimiza la aplicación.","Task","Fragment","Service","Activity","En Android, una 'Task' es un grupo de actividades que se ejecutan en secuencia para cumplir con una acción específica, y puede pasar al fondo si el usuario lo desea."
"Es un mensaje asíncrono utilizado para mostrar información breve al usuario, sin requerir interacción, y que desaparece automáticamente después de un breve periodo de tiempo.","Toast","AlertDialog","Notification","Snackbar","Un 'Toast' es una pequeña notificación temporal que se muestra en la pantalla sin la necesidad de que el usuario interactúe con ella."
"Es un componente fundamental en la interfaz gráfica de Android, usado para mostrar una pantalla o ventana dentro de una aplicación.","Activity","Broadcast Receiver","Service","Content Provider","Las 'Activities' son las pantallas principales dentro de una aplicación Android, representando cada una de las interacciones con el usuario."
"Es un componente utilizado para ejecutar procesos en segundo plano en Android, sin la necesidad de interactuar directamente con la interfaz de usuario.","Service","Activity","Broadcast Receiver","Intent","Los 'Services' permiten realizar tareas en segundo plano sin interacción directa con el usuario, como enviar notificaciones o actualizar datos."
"Es un mecanismo que permite enviar un mensaje a una aplicación o componente, describiendo una acción y enviando información adicional como datos, categorías y parámetros.","Intent","Activity","Service","Broadcast Receiver","El 'Intent' es un mensaje utilizado para activar componentes de la aplicación o de otras aplicaciones, enviando información sobre la acción que se desea realizar."
"Es un archivo de configuración en Android donde se declaran las actividades, servicios y otros componentes esenciales de una aplicación.","AndroidManifest","build.gradle","gradle.properties","Android Studio","El archivo 'AndroidManifest' es vital en una aplicación Android ya que define todas las actividades, servicios y permisos necesarios para su funcionamiento."
"Es un método utilizado en Android para interactuar con un componente en segundo plano y obtener el resultado de la acción realizada por este.","startActivityForResult()","startActivity()","onCreate()","onClick()","El método 'startActivityForResult()' se usa para iniciar una actividad y recibir datos de vuelta de ella, a través del método 'onActivityResult()'."
"Es un parámetro de un layout en Android que define cómo se debe posicionar y dimensionar un View dentro de un ViewGroup.","LayoutParams","ViewGroup","View","Activity","Los 'LayoutParams' son parámetros que definen cómo un 'View' debe ser dimensionado y posicionado dentro de un 'ViewGroup'."
"Es una propiedad en un layout de Android que define el identificador único de un View dentro de un árbol de vistas.","ID","LayoutParams","ViewGroup","Activity","El 'ID' es un atributo importante en un layout de Android, utilizado para identificar de manera única cada 'View' en el árbol de la interfaz."
"Es un tipo de menú en Android que se activa cuando el usuario presiona un elemento durante un tiempo prolongado, mostrando opciones relacionadas con dicho elemento.","ContextMenu","OptionsMenu","PopupMenu","NavigationMenu","El 'ContextMenu' se utiliza en Android para ofrecer opciones específicas relacionadas con un elemento, y se activa cuando el usuario realiza un toque largo sobre el componente."
