Pregunta,Opción Correcta,Opción Incorrecta 1,Opción Incorrecta 2,Opción Incorrecta 3,Contexto
¿Qué significa la palabra 'administración' según su origen etimológico?,Dirección o gestión al servicio de,Ciencia de las organizaciones,Organización empresarial,Planificación de recursos humanos,"La palabra administración deriva del latín 'administratio', formada por 'ad-' (dirección) y 'minister' (al servicio de)."
¿Verdadero o falso? La administración solo se aplica a empresas privadas.,FALSO,VERDADERO,,,"La administración se aplica a cualquier tipo de organización, pública o privada, según el documento."
¿Qué sector empresarial se dedica a actividades industriales?,Sector secundario,Sector primario,Sector terciario,Sector cuaternario,"El sector secundario incluye empresas industriales, según la clasificación por sectores de actividad."
"¿Verdadero o falso? La administración se considera una ciencia, una técnica y un arte.",VERDADERO,FALSO,,,"Según el texto, la administración puede ser considerada una combinación de ciencia, técnica y arte dependiendo del enfoque."
¿Cuál es el objetivo principal de una empresa?,Satisfacer necesidades del mercado y generar valor,Controlar a los empleados,Producir lo máximo posible,Reducir costos al mínimo,"Una empresa busca satisfacer necesidades del mercado y generar valor, según el enfoque administrativo."
¿Cuál es la meta principal de todos los gerentes?,Crear valor agregado,Maximizar la producción,Minimizar los costos,Motivar al personal,El documento menciona que la meta de todos los gerentes es la misma: crear valor agregado.
¿Verdadero o falso? La administración es solo para altos directivos.,FALSO,VERDADERO,,,El texto señala que la administración se aplica a gerentes de todos los niveles organizacionales.
¿Qué sector empresarial presta servicios?,Sector terciario,Sector primario,Sector secundario,Sector cuaternario,"Según el documento, el sector terciario se dedica a actividades de prestación de servicios."
¿Qué tipo de empresa tiene responsabilidad proporcional al capital aportado?,Sociedad limitada,Sociedad colectiva,Sociedad anónima,Sociedad comanditaria,Las sociedades limitadas asignan responsabilidades proporcionales al capital aportado.
¿Qué tipo de empresa combina capital y participación equitativa entre socios?,Sociedad colectiva,Sociedad anónima,Sociedad limitada,Sociedad comanditaria,"En una sociedad colectiva, todos los socios tienen participación equitativa y responden con su patrimonio."
¿Verdadero o falso? Una microempresa es más grande que una mediana empresa.,FALSO,VERDADERO,,,Las microempresas son más pequeñas en tamaño y recursos que las medianas empresas.
¿Qué significa que la administración es una técnica?,Que se basa en procedimientos y reglas para actuar eficientemente,Que solo se puede aprender con práctica,Que no necesita conocimientos científicos,Que no tiene un fundamento teórico,"El texto indica que como técnica, la administración usa normas y procedimientos para funcionar eficazmente."
¿Qué autor afirmó que la administración implica 'crear un estado de cosas mediante acciones específicas'?,Herbert Simon,George Terry,Frederick Taylor,Koontz y Weihrich,Simon propuso que la ciencia administrativa implica establecer acciones para alcanzar objetivos.
¿Qué caracteriza a las empresas transnacionales?,Operan en múltiples países con filiales en distintos continentes,Solo operan en un país,Venden únicamente en línea,No tienen oficinas físicas,"Las empresas transnacionales operan en muchos países, como se menciona en el texto."
¿Qué tipo de organización se forma para cubrir necesidades socioeconómicas?,Cooperativa,Sociedad anónima,Persona física,Empresa nacional,Las cooperativas surgen para cubrir necesidades socioeconómicas y reparten responsabilidades igualitariamente.
